id,ticket_number,ticket_year,ticket_sequence,direction,created_at,job_id,job_code_snapshot,job_name_snapshot,customer_snapshot,truck_id,truck_number_snapshot,material_id,material_name_snapshot,quantity,unit,notes,pdf_path,pdf_blob,tax_exempt,cost,active,modified_to_id
3919,DT-2026-001247,2026,1247,IN,2026-02-27T09:53:00,,Job #3853,Job #3853,"Middleton Mechanical, LLC",242.0,OHIO1,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,75.0,True,
3920,DT-2026-001248,2026,1248,IN,2026-03-02T08:38:00,,Job #3853,Job #3853,"Middleton Mechanical, LLC",242.0,OHIO1,11.0,Broken Concrete,1.0,Load,,,,N,75.0,True,
3921,DT-2026-001249,2026,1249,IN,2026-03-02T08:47:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,54.0,DEV5,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3922,DT-2026-001250,2026,1250,IN,2026-03-02T08:51:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,52.0,DEV3,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3923,DT-2026-001251,2026,1251,IN,2026-03-02T09:01:00,,Bedford,Bedford,Shook Construction Co.,163.0,RL10,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3924,DT-2026-001252,2026,1252,IN,2026-03-02T09:09:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,208.0,DON08,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3925,DT-2026-001253,2026,1253,IN,2026-03-02T09:10:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,49.0,DEV11,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3926,DT-2026-001254,2026,1254,IN,2026-03-02T09:20:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,77.0,FP27,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3927,DT-2026-001255,2026,1255,IN,2026-03-02T09:48:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,52.0,DEV3,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3928,DT-2026-001256,2026,1256,IN,2026-03-02T09:49:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,48.0,DEV10,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3929,DT-2026-001257,2026,1257,IN,2026-03-02T10:02:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,49.0,DEV11,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3930,DT-2026-001258,2026,1258,IN,2026-03-02T10:18:00,,Job #3853,Job #3853,"Middleton Mechanical, LLC",245.0,MID903,11.0,Broken Concrete,1.0,Load,,,,N,75.0,True,
